step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,WHAT,,,,,,,,,
2,,0.5,0.5,1,,"What is this ceramic vessel and in what situations were vessels like these utilized? ","Double-spout bridge vessels such as these were extremely popular in Nasca Society because of their use during feasting ceremonies, ancestor worship and rituals in which they held a ceremonial drink known as chicha, a corn beer. This polychrome vessel would have had ceremonial use for ritual drinking, and was often placed with the deceased. This double-spout bridge vessel is a coiled ceramic, a ceramic made by a process of hand-building clay via stacking and merging ropes. Coiled clay ceramics are one of the oldest found from Nasca material culture, dating to the culture’s inception, around 200 BCE.",,Learn more,double-spoutted-nazca-9ycp-learn-more.md,Go deeper,double-spoutted-nazca-9ycp-go-deeper.md,,,
3,,0.5,0.5,1,,WHO,,,,,,,,,
4,,0.5,0.5,1,,"Who were the original people group/material culture that produced this vessel? ","This type of vessel originates from the Nasca material culture descending from the southern coast of modern-day Peru. The culture flourished from approximately 200 BCE to 650 CE. The Nasca people were renowned for their colorful, slip-painted pottery, vibrant textiles, and their trademark geoglyphs. ",,Learn more,double-spoutted-nazca-9ycp-step4-layer1.md,Go deeper,double-spoutted-nazca-9ycp-step4-layer2.md,,,
5,,0.5,0.5,1,,WHERE,,,,,,,,,
6,,0.5,0.5,1,,In what context would this object be found?,"The double-spout and bridge Nasca vessel is considered to be a mid to high-status vessel found in grave sites. The polychrome vessel was common among households, however this specific style of ceramic was commonly found in gravesites near the deceased, who would be found sitting upright near various other burial goods, which further supports the idea that these ceramic vessels held more significance than the day-to-day life since they were used ritualistically in graves. In other styles of the double spout and bridge vessel, we can see imagery of decapitated deceased individuals, which links to a type of funerary practice in the nearby area, which also further indicates the use of funerary significance for this style of ceramic.
",,,,,,,,
7,,0.5,0.5,1,,WHY,,,,,,,,,
8,,0.5,0.5,1,,Why are there two spouts on this double-spout bridge vessel and what’s the significance of having two spouts?,"The object has two spouts and a bridge for functional uses. The bridge is used like a handle to carry around this delicate vessel of artwork. The two spouts are used for pouring out liquid. The reason for two spouts is that the liquid can be poured from both sides of the vessel. While liquid pours from one side of the vessel air would flow from the other side. This causes a smooth flow from this object. 
",,Learn more,double-spoutted-nazca-9ycp-step8-layer1.md,,,,,
9,,0.5,0.5,1,,WHAT,,,,,,,,,
10,,0.5,0.5,1,,What is the animal on this vessel? Is it a well known spiritual figure or new imagination from the artist?,"The animal is the mythical spotted cat, a mythical feline that is one of the two most important supernatural figures in Nasca works. It is a well established spiritual figure and not something the creator imagined. The headdress, whiskers, rounded spots around the body, and connection to plants all define the creature. The spotted cat shows up consistently on Nasca pottery for nearly a thousand years.
",,,,,,,,
